country,year,gdp,gdp_growth,inflation,unemployment,population,continent
United Kingdom,2023,3165,0.4,6.8,4.2,67,Europe
United Kingdom,2022,3089,4.1,9.1,3.7,67,Europe
United Kingdom,2021,3086,7.5,2.6,4.5,67,Europe
France,2023,3031,0.7,5.2,7.2,65,Europe
France,2022,2782,2.5,5.9,7.4,65,Europe
France,2021,2691,6.8,1.6,7.9,65,Europe
Canada,2023,2175,1.5,3.9,5.4,39,North America
Canada,2022,2139,3.4,6.8,5.2,39,North America
Canada,2021,1975,4.6,3.4,7.5,38,North America
Russia,2023,2240,1.5,7.4,3.1,144,Europe
Russia,2022,2043,-2.1,13.8,3.9,144,Europe
Russia,2021,1950,4.7,6.7,4.8,145,Europe
Italy,2023,2140,0.7,5.9,7.8,59,Europe
Italy,2022,2039,3.7,8.7,8.1,59,Europe
Italy,2021,1947,7.0,1.9,9.5,59,Europe
Brazil,2023,2130,2.9,4.6,7.8,216,South America
Brazil,2022,1888,3.0,9.3,9.3,215,South America
Brazil,2021,1684,4.8,8.3,13.2,214,South America
South Korea,2023,1721,1.4,3.6,2.7,52,Asia
South Korea,2022,1674,2.6,5.1,2.9,52,Asia
South Korea,2021,1787,4.3,2.5,3.7,52,Asia
Australia,2023,1677,2.1,4.9,3.7,26,Oceania
Australia,2022,1596,3.7,6.6,3.5,26,Oceania
Australia,2021,1638,2.4,2.8,4.2,25,Oceania
Spain,2023,1545,2.5,3.4,12.1,47,Europe
Spain,2022,1418,5.8,8.3,13.0,47,Europe
Spain,2021,1265,5.5,3.1,14.8,47,Europe
Mexico,2023,1558,3.2,4.7,3.0,129,North America
Mexico,2022,1435,3.7,7.9,3.3,128,North America
Mexico,2021,1185,4.9,5.7,4.1,127,North America
Indonesia,2023,1419,5.0,3.5,5.3,277,Asia
Indonesia,2022,1302,5.3,4.2,5.9,275,Asia
Indonesia,2021,1102,3.7,1.6,6.5,273,Asia
Saudi Arabia,2023,1067,0.8,2.3,4.8,36,Asia
Saudi Arabia,2022,1109,8.7,2.5,4.7,35,Asia
Saudi Arabia,2021,873,3.2,3.1,5.0,35,Asia
Netherlands,2023,1091,0.1,4.1,3.6,18,Europe
Netherlands,2022,995,4.5,10.0,3.5,18,Europe
Netherlands,2021,932,4.9,2.7,4.2,17,Europe
Turkey,2023,1005,4.5,53.9,9.0,85,Europe
Turkey,2022,905,5.6,72.3,10.4,84,Europe
Turkey,2021,872,11.4,19.6,12.0,84,Europe
Switzerland,2023,867,0.7,2.1,2.1,9,Europe
Switzerland,2022,841,2.6,2.8,2.2,9,Europe
Switzerland,2021,827,3.9,0.6,2.6,9,Europe
